,cost f,spectral gap,gamma,tau
0,19.176762969151355,0.01642433254681197,0.18,2.0
1,12.195488713219413,0.0157705556197969,0.1764281902315027,2.0319454193153534
2,13.174057717526917,0.017454784081907482,0.1839746328860558,2.044248192032242
3,12.67199329733899,0.019003570600800823,0.19086469848291152,2.0319208164601728
4,11.848516379507698,0.02004933474618531,0.19399518705266117,2.1033608412075457
5,11.648043966205991,0.02027147134174756,0.193996408106962,2.155940248618946
6,10.379066412470301,0.023102168194738426,0.20429033071801045,2.1876513438374205
7,8.246936297384872,0.04724374390792896,0.2707345637701612,2.2405267059084664
8,8.028939633954431,0.05606146306438409,0.2893474091253274,2.2125161961967796
9,7.651246354266959,0.060431479726573034,0.29658121755778444,2.267829181875898
10,7.719643288195569,0.060017809071874595,0.2956390157654759,2.27853216882563
